iso639-3,url,iso639-2/iso639-5,iso639-2,iso639-5,iso639-1,name,type,status,member of macro language,member of MARC collective code,iso639-3
amb,https://iso639-3.sil.org/code/amb,,,,,Ambo,Individual,Living,,nic,amb
amc,https://iso639-3.sil.org/code/amc,,,,,Amahuaca,Individual,Living,,sai,amc
ame,https://iso639-3.sil.org/code/ame,,,,,Yanesha',Individual,Living,,sai,ame
amf,https://iso639-3.sil.org/code/amf,,,,,Hamer-Banna,Individual,Living,,afa,amf
amg,https://iso639-3.sil.org/code/amg,,,,,Amurdak,Individual,Living,,aus,amg
amh,https://iso639-3.sil.org/code/amh,amh,amh,,am,Amharic,Individual,Living,,,amh
ami,https://iso639-3.sil.org/code/ami,,,,,Amis,Individual,Living,,map,ami
amj,https://iso639-3.sil.org/code/amj,,,,,Amdang,Individual,Living,,ssa,amj
amk,https://iso639-3.sil.org/code/amk,,,,,Ambai,Individual,Living,,map,amk
aml,https://iso639-3.sil.org/code/aml,,,,,War-Jaintia,Individual,Living,,mkh,aml
amm,https://iso639-3.sil.org/code/amm,,,,,Ama (Papua New Guinea),Individual,Living,,paa,amm
amn,https://iso639-3.sil.org/code/amn,,,,,Amanab,Individual,Living,,paa,amn
amo,https://iso639-3.sil.org/code/amo,,,,,Amo,Individual,Living,,nic,amo
amp,https://iso639-3.sil.org/code/amp,,,,,Alamblak,Individual,Living,,paa,amp
amq,https://iso639-3.sil.org/code/amq,,,,,Amahai,Individual,Living,,map,amq
amr,https://iso639-3.sil.org/code/amr,,,,,Amarakaeri,Individual,Living,,sai,amr
ams,https://iso639-3.sil.org/code/ams,,,,,Southern Amami-Oshima,Individual,Living,,und,ams
amt,https://iso639-3.sil.org/code/amt,,,,,Amto,Individual,Living,,paa,amt
amu,https://iso639-3.sil.org/code/amu,,,,,Guerrero Amuzgo,Individual,Living,,cai,amu
amv,https://iso639-3.sil.org/code/amv,,,,,Ambelau,Individual,Living,,map,amv
amw,https://iso639-3.sil.org/code/amw,,,,,Western Neo-Aramaic,Individual,Living,,sem,amw
amx,https://iso639-3.sil.org/code/amx,,,,,Anmatyerre,Individual,Living,,aus,amx
amy,https://iso639-3.sil.org/code/amy,,,,,Ami,Individual,Living,,aus,amy
amz,https://iso639-3.sil.org/code/amz,,,,,Atampaya,Individual,Extinct,,aus,amz
ana,https://iso639-3.sil.org/code/ana,,,,,Andaqui,Individual,Extinct,,sai,ana
anb,https://iso639-3.sil.org/code/anb,,,,,Andoa,Individual,Extinct,,sai,anb
anc,https://iso639-3.sil.org/code/anc,,,,,Ngas,Individual,Living,,afa,anc
and,https://iso639-3.sil.org/code/and,,,,,Ansus,Individual,Living,,map,and
ane,https://iso639-3.sil.org/code/ane,,,,,XÉrÉcóó,Individual,Living,,map,ane
anf,https://iso639-3.sil.org/code/anf,,,,,Animere,Individual,Living,,nic,anf
ang,https://iso639-3.sil.org/code/ang,ang,ang,,,Old English (ca. 450-1100),Individual,Historical,,,ang
anh,https://iso639-3.sil.org/code/anh,,,,,Nend,Individual,Living,,paa,anh
ani,https://iso639-3.sil.org/code/ani,,,,,Andi,Individual,Living,,cau,ani
anj,https://iso639-3.sil.org/code/anj,,,,,Anor,Individual,Living,,paa,anj
ank,https://iso639-3.sil.org/code/ank,,,,,Goemai,Individual,Living,,afa,ank
anl,https://iso639-3.sil.org/code/anl,,,,,Anu-Hkongso Chin,Individual,Living,,sit,anl
anm,https://iso639-3.sil.org/code/anm,,,,,Anal,Individual,Living,,sit,anm
ann,https://iso639-3.sil.org/code/ann,,,,,Obolo,Individual,Living,,nic,ann
ano,https://iso639-3.sil.org/code/ano,,,,,Andoque,Individual,Living,,sai,ano
anp,https://iso639-3.sil.org/code/anp,anp,anp,,,Angika,Individual,Living,,inc,anp
anq,https://iso639-3.sil.org/code/anq,,,,,Jarawa (India),Individual,Living,,mis,anq
anr,https://iso639-3.sil.org/code/anr,,,,,Andh,Individual,Living,,inc,anr
ans,https://iso639-3.sil.org/code/ans,,,,,Anserma,Individual,Extinct,,sai,ans
ant,https://iso639-3.sil.org/code/ant,,,,,"Antakarinya, Antikarinya",Individual,Living,,aus,ant
anu,https://iso639-3.sil.org/code/anu,,,,,Anuak,Individual,Living,,ssa,anu
anv,https://iso639-3.sil.org/code/anv,,,,,Denya,Individual,Living,,nic,anv
anw,https://iso639-3.sil.org/code/anw,,,,,Anaang,Individual,Living,,nic,anw
